,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50
cell_157,-10.103708,-0.09831291,-5.3039746,-3.860018,-3.126314,-10.084971,1.92076,-3.229388,-1.6561047,6.451763,-9.578383,-25.044762,5.6832695,4.4308014,-12.833479,2.2280653,8.613019,-21.316109,9.1444435,19.590235,5.3350606,10.547139,-8.908273,19.6959,-16.168226,-2.4425778,17.396475,-19.22363,2.3745487,-8.868978,-5.500605,-0.37870044,10.57395,2.796464,10.034797,13.736946,-4.2656684,2.8291738,22.257832,-12.84437,-17.00216,7.9805813,0.24187468,-18.386845,-9.506318,8.398605,5.04016,1.5183574,-11.426499,-15.195934
cell_158,-10.045444,-2.6954494,-15.9866,-2.1476138,-5.6010075,-8.270371,1.6807696,-7.1616945,-5.6858773,1.076218,-7.871023,-22.999798,4.475399,6.898108,-15.458652,4.394473,6.4914684,-17.037718,5.6307955,21.085373,5.0582595,10.800852,-10.502824,20.822443,-13.954658,-9.320282,20.102552,-8.535446,3.1112752,-2.998039,-5.781146,2.4066136,10.253311,4.5793853,8.536065,19.219513,1.516436,-1.9745086,22.036047,-16.265574,-18.479353,7.508557,-1.8724551,-19.44989,-15.884101,10.754401,2.8954434,-1.7650923,-15.579942,-8.295138
cell_159,-10.30827,-1.1385497,0.13614449,-11.572128,-12.246924,-12.038271,5.565924,-3.6459813,-2.4958236,-0.65799403,-4.2833343,-21.616253,3.2144048,5.4579186,-13.715768,6.6072273,14.983968,-22.049316,9.016217,22.715223,2.6088011,5.9177566,-5.25621,24.873896,-18.856995,-8.967661,15.824743,-13.259499,3.6948473,-13.158959,-5.9922915,1.4766655,12.923068,1.8852496,8.767099,12.762406,-1.2985868,-0.87896055,21.147013,-6.3989224,-18.100306,8.1036625,1.3121327,-17.586643,-15.677313,4.858218,3.3764176,-0.5053356,-10.510075,-18.309427
cell_160,-12.184445,-6.6367774,-6.14731,-1.1770375,-1.3443463,-7.4246664,1.5363843,-6.8687606,4.232006,0.5919118,-2.8118553,-20.496265,7.4460726,9.592719,-10.643757,7.376933,8.688857,-12.011631,-0.16334791,20.050024,5.8031,6.3091884,-8.691942,19.202131,-13.127559,-4.5308094,13.851874,-15.343612,-1.4925966,-2.0546014,-5.481053,4.8764067,14.745814,7.0843134,4.964723,11.508931,-8.769164,-2.7066007,20.259247,-5.2022786,-12.529888,5.4178967,5.2430887,-23.244087,-15.886588,11.495088,6.759715,1.4159472,-16.782396,-13.794767
cell_161,-9.804523,-4.552909,-11.784285,2.255919,1.5413792,-10.3782215,2.7711532,-5.882558,3.2856398,2.1302114,-7.7419367,-20.23932,12.13284,11.315564,-12.382786,4.145281,-0.10904841,-10.470695,4.1532717,19.362371,1.777961,10.7507925,-7.761188,16.802048,-17.034155,-5.385938,19.853735,-18.089062,2.1002748,-3.4527736,-6.7108397,-3.265605,13.045662,6.646891,10.966744,15.77609,-3.0000935,1.6538637,18.313202,-11.390262,-20.371708,8.094776,4.467057,-23.255152,-10.963308,17.52783,6.5299964,2.1010017,-15.289748,-11.314024
cell_162,-7.89241,-1.5136855,-7.812899,-5.592962,-2.2924192,-10.038403,-5.1440954,-3.4346669,-3.352092,2.5688837,-0.9648734,-17.658892,6.4077396,0.31003755,-13.904726,9.756819,8.999592,-18.271284,1.6568028,21.911783,7.669018,7.4132843,-13.242524,15.324421,-12.783074,-11.401938,12.9429655,-17.166494,2.1176648,-9.29637,-6.1717143,3.0349119,9.164232,5.259623,5.77366,10.413317,-0.57691073,-1.5349123,20.30145,-5.858001,-16.38661,5.2088494,-4.986492,-20.783426,-15.649854,9.043589,2.720938,-4.4741626,-17.803581,-11.2505
cell_163,-3.7531712,-4.5875154,-6.9021597,-3.133332,4.1122084,-12.444005,-1.702016,-2.7507493,3.1913934,2.3389351,-4.5040545,-20.285128,14.370859,10.612074,-8.96715,4.2336907,1.7994323,-12.165541,5.618185,18.146738,0.34260383,3.4690955,-13.093444,18.918148,-15.483098,-9.756711,17.117964,-23.652447,0.8428523,-11.51734,-8.748974,-3.3557708,18.083178,8.355432,10.299745,11.166168,-5.258432,-1.8221501,19.05246,-3.7728152,-18.94758,7.394836,2.987377,-25.822542,-12.884516,13.030771,4.780761,3.1022933,-12.560592,-12.831594
cell_164,-10.233301,-2.7132113,-10.227402,-10.834782,-6.009988,-7.060468,-4.067931,-2.73812,-5.7343926,0.7030667,-7.941086,-17.25616,5.8867726,5.112165,-19.69238,4.9752603,6.549596,-16.479824,7.839195,21.83031,6.19324,0.57174623,-11.479578,22.926605,-9.257935,-7.0199113,15.845908,-16.232002,0.41805276,-12.075423,-5.417434,-4.252965,9.46443,8.21696,6.627696,17.16093,2.7465737,-7.2549486,21.84156,-9.787989,-13.351571,7.7954683,-5.8154254,-21.341047,-14.157388,8.904756,4.639349,-2.8381627,-13.008634,-13.719453
cell_165,-10.19663,-7.161145,-3.460123,-12.501702,-0.8797453,-9.346181,-3.1172261,-7.3089113,-0.9015566,2.9448721,-0.55284166,-20.139454,7.282656,6.9712796,-13.17103,7.896002,8.657621,-16.167463,4.6266713,22.546734,9.032847,-1.0372318,-17.82158,19.77992,-13.63554,-7.8431644,14.118335,-21.368557,3.7532418,-11.268615,-7.3451867,1.6368484,12.2274,10.963178,5.3052773,8.602707,-2.8716147,-0.8269539,24.361254,-7.009313,-13.401954,9.068027,-8.501916,-21.626896,-16.954405,12.232162,2.5273516,-2.3723888,-14.559524,-19.19998
cell_166,-13.541986,-4.5143085,-6.2558203,-10.550692,-1.8110557,-15.942499,-3.3477807,-9.7642765,-3.4616628,1.9501473,-6.393089,-16.761366,6.688159,4.6810765,-17.78255,7.1035466,10.764209,-10.148029,5.106868,21.458288,6.922889,1.6688557,-7.8442016,28.218056,-14.397266,-7.0658026,15.690901,-18.9194,4.1545258,-9.535775,-8.957793,-1.8281776,7.620871,5.292245,9.101069,16.599617,-0.67168695,-7.9851074,23.443354,-8.020685,-18.87504,8.938396,-0.62665725,-22.373646,-19.978125,12.66177,-0.1368841,-3.3749595,-19.266283,-8.669152
cell_167,-8.779646,-4.079141,-10.152477,-6.332458,-5.732663,-13.535277,-3.4046822,-1.2611117,-2.7879775,-0.43834326,-5.656838,-17.299618,8.849401,5.0103765,-14.031481,3.1491113,5.164301,-14.110417,8.257123,20.029305,-2.11196,2.9559245,-15.342576,24.726656,-15.149555,-11.286549,18.07742,-18.550226,1.6472039,-10.687375,-11.974935,1.049212,17.989418,8.201575,5.885369,12.532797,-5.184889,-5.615907,23.322329,-4.9510713,-17.060263,2.9662118,-4.6183505,-23.429697,-13.294366,11.056188,4.7654824,0.78138286,-12.680368,-15.049999
cell_168,-10.441616,-5.68316,-0.9182655,-6.168182,-4.893395,-7.835394,-0.39181483,-2.5544047,5.9332924,-6.3289433,-2.0389833,-15.623286,-0.43177286,3.9593666,-9.177975,11.946295,10.088081,-9.567641,-8.215134,22.161316,-2.3907902,2.1196332,-8.420416,22.663094,-12.800701,-2.0857823,15.345274,-19.707567,-7.827653,-3.0030448,-5.7310286,3.0343707,7.084162,2.2486384,4.689846,8.13551,-10.101311,0.065368876,16.815458,-3.398279,-12.880777,8.548891,3.3304389,-23.009382,-15.702858,14.941181,8.442236,2.7207298,-13.445804,-13.1425905
cell_169,-7.2913504,0.14585443,-0.77336025,0.40178642,-6.0940957,-13.343903,-1.9082612,-2.9930012,-2.2979245,0.5868958,-13.574211,-25.99036,-2.0645494,-1.5258756,-15.540982,14.937493,18.160913,-16.728748,1.3126245,23.52124,8.1796875,3.8583047,-4.190246,25.789434,-15.038315,-3.0278978,8.235612,-17.010962,-2.5920854,-1.2756608,0.06884969,9.842337,6.0834036,-6.0822983,14.675139,10.855048,-3.9141572,3.6995099,22.688257,-9.435713,-9.889492,0.34988546,4.2196016,-23.030539,-16.092579,12.252225,-1.7667104,0.83901685,-20.075857,-4.9931936
cell_170,-9.979723,-7.283353,-7.4880514,-4.4163814,2.598034,-11.1907835,-3.992338,-9.152465,3.1820033,-0.464068,-5.5110865,-13.782312,8.016671,6.5958734,-12.238388,8.897408,-0.051876564,-8.409224,0.5480053,19.37689,8.446494,3.0012567,-10.999231,19.769323,-15.440477,-7.189371,13.509639,-24.209156,-1.324558,-6.662583,-7.1417875,1.3372372,10.515808,10.156629,4.437876,7.971623,-5.5846024,1.5978855,18.685577,-10.6682825,-15.803157,11.749477,-4.045673,-27.940588,-15.907936,19.513502,5.825921,3.842766,-16.49821,-15.0788765
cell_171,-10.138574,-5.3591847,-9.3926935,1.5627534,-0.40421325,-9.814006,-4.5804963,-3.7454224,3.0158863,-2.3708198,-9.334056,-14.73958,4.3246765,5.840382,-12.503461,11.883864,3.6703713,-8.439819,-2.24398,19.344664,2.3336565,6.3274465,-5.8320136,21.67546,-12.137534,-1.8417062,14.035495,-21.272137,-5.201076,1.267199,-1.6586261,-0.46828875,6.363743,5.197694,5.7203317,15.991642,-2.500289,1.8585211,18.429667,-8.17857,-14.040557,5.7073016,1.8855665,-27.683546,-12.509353,20.673138,4.8415084,4.226462,-21.54733,-7.83934
