,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50
cell_260,-4.84651,-3.9434671,-4.0348496,1.1890495,-8.945198,-8.663445,-5.4086146,-3.7142785,-3.336471,-0.57395345,-16.370434,-14.623308,-0.7158883,-4.8044987,-18.410744,18.676004,4.931176,-18.460384,-0.9349006,23.56553,15.181583,5.6455092,-3.9757657,17.856255,-15.163699,-7.2092767,2.662704,-22.287802,-6.913233,-5.80494,0.09403067,4.3460655,1.6843065,-1.7129804,7.3456097,7.672942,-1.0598556,9.042993,17.224539,-15.231546,-9.60358,4.7728143,-3.1714456,-27.190525,-17.34057,16.946968,4.757613,5.2707863,-19.63376,-10.840424
cell_261,-8.754374,-3.7162962,-11.903426,-4.4534802,1.2445368,-1.428286,-2.8271778,-2.9338086,4.293568,-5.7081046,-10.950103,-15.423124,5.0132556,6.2666087,-20.997042,10.7996645,2.0216022,-9.48826,-1.6142805,21.029568,6.7917557,-4.7340083,-13.60744,21.116701,-10.973839,-6.7701755,12.106983,-21.834396,-5.8989844,-7.3468776,-2.8710022,-0.17705305,9.08814,5.1655846,9.090596,9.025185,-1.8149804,-2.6585536,19.449575,-15.036398,-7.2241435,6.476307,-5.1238766,-28.731441,-13.008948,18.748571,8.072662,3.0617018,-13.459167,-9.942406
cell_262,-5.7134495,-0.834656,-2.6605003,-5.0462527,-8.013047,-6.188334,-1.3347327,2.968307,-1.268595,-4.2241125,-10.167984,-18.028881,2.105063,4.6712832,-9.488761,15.637786,3.3735101,-20.291586,4.001207,19.410053,0.0980173,12.986044,1.2749344,23.48934,-15.293359,-7.806361,10.375843,-18.000862,-7.1211324,-7.3034096,6.1581917,-5.0850444,8.018693,4.933332,9.861377,14.686238,5.31672,5.438002,22.98639,-6.459082,-14.139339,5.863606,8.775058,-25.48455,-4.9995728,11.642377,3.0659053,1.8480101,-14.523858,-16.612106
cell_263,-13.4972315,-7.4958873,-2.500934,-11.378368,-0.26946214,-0.061768472,-2.5315127,-4.9787574,2.9854913,-2.9923215,-10.424174,-15.948065,0.9361204,6.265842,-16.345556,6.9917045,8.795125,-9.492928,-7.8689103,17.010431,2.1912105,-1.9530865,-13.272929,27.156275,-9.280157,0.07238911,10.442681,-23.523527,-1.8914305,-3.670369,-0.7752029,-2.3885996,4.645186,4.49719,3.4916878,12.406586,-7.0570498,-2.848884,28.15355,-13.139404,-5.1697054,7.6484847,0.20304556,-19.266216,-8.89318,15.114116,4.1644673,-0.059485562,-12.874961,-12.684663
cell_264,-6.892433,-2.6780279,1.55691,-4.583483,-7.6090813,-7.656005,-6.319228,-3.739442,7.182113,-7.38897,-14.9812,-13.30719,4.120331,11.2376,-13.144712,6.704145,-2.1792881,-14.027821,-6.6068172,19.461843,5.9451313,-0.47399482,-4.8535843,23.661306,-12.486467,3.2064836,11.707159,-23.515747,-5.413805,-1.3641205,1.652236,-2.0623202,7.7246103,3.8134923,4.068115,12.010708,-1.1582575,5.385268,20.286482,-9.359611,-10.857158,12.677978,1.5299367,-26.770079,-11.20469,22.069822,5.7413063,5.308474,-10.227418,-13.46942
cell_265,-12.955941,-5.1408772,-4.00499,-9.946607,-3.391187,-5.556292,-2.0359867,-0.8608681,-0.56819165,-5.619702,-3.8426266,-15.197992,-1.5477418,-1.0927612,-15.144237,13.835249,10.7321,-11.905449,-2.5561368,18.769508,1.5848311,-1.8802642,-11.591632,23.868856,-12.050865,-3.733794,11.436289,-24.400126,-9.319802,-6.573657,-7.670571,6.409288,5.631209,4.237466,-1.299482,7.8136015,-11.6131315,-2.576442,21.847754,-10.580314,-5.327536,5.4768615,-4.5147724,-24.005062,-14.942786,11.136439,5.125495,3.9159217,-17.987875,-13.855211
cell_266,-8.287406,-6.9123707,-0.27912295,-12.344341,-8.864314,-2.1731162,-4.3600235,-0.75190276,1.9541643,-9.3193245,-9.9373255,-7.939257,-7.991336,-4.2344465,-14.228749,15.821138,1.3983243,-14.009271,-5.024592,19.734678,-1.3011316,-2.0425916,-10.052071,25.625906,-12.52728,-5.050489,6.6626043,-23.812855,-11.912791,-9.025227,-3.3523517,2.5395272,1.8990338,2.0213516,4.1183333,3.1880803,-5.7221265,5.719628,19.672527,-12.963245,-4.766598,6.3995347,-10.176192,-24.83046,-11.738444,14.8825655,8.595943,5.7328115,-11.381373,-17.87251
cell_267,-7.116351,-6.1998997,2.124548,-13.169502,-2.3545103,-4.088448,-8.182359,1.5692096,-1.640982,1.0313636,-4.774012,-22.064743,0.8590445,6.2329016,-11.784799,10.619353,10.067051,-24.037592,-4.004624,19.085697,10.407851,2.3763916,-15.66285,22.814482,-11.23823,-6.9559765,6.5489035,-25.262413,-0.6014713,-3.5300553,5.19104,2.9189196,6.548157,6.5333667,0.27151036,17.58773,-0.7716173,7.7335906,31.743866,-9.077364,-8.866436,9.133356,-5.1582036,-24.078226,-12.106454,12.174999,-3.4366958,1.8211842,-23.448406,-17.14276
cell_268,-8.1641655,-0.18515298,1.6770236,-6.4518104,2.3282926,-8.563292,-2.4222496,1.3128769,4.3315997,1.3900896,-11.154339,-22.86222,1.6583011,3.6838026,-17.082125,6.892492,7.803467,-15.497083,-1.1288141,18.994942,7.181641,-4.7635417,-10.878863,22.076996,-12.669968,0.3189481,12.642689,-31.713427,-3.2585464,-8.363712,-5.478385,-0.19547045,5.200884,0.27873865,8.183991,8.277141,-8.938015,8.301669,18.177523,-15.856548,-9.96052,13.169647,-8.080464,-25.601831,-9.005864,15.693309,6.635876,7.6425905,-11.779092,-14.8301735
cell_269,-9.301087,-5.8885856,-3.208621,-4.503929,-1.6352353,-3.4804509,0.51384944,-5.3808227,6.829478,-5.724666,-7.450984,-13.358668,7.003002,3.976721,-12.01064,8.40482,7.445649,-10.006009,-2.198785,17.348938,4.3070617,2.4406412,-12.318018,18.000248,-17.905777,-7.3466415,8.029136,-23.740517,-1.2129459,-7.1708074,-3.5393717,5.3935122,15.769653,6.7866054,1.0953133,3.816476,-13.148729,1.0270909,21.717207,-6.774013,-8.963296,5.544029,2.3424845,-23.456062,-9.621156,12.845122,8.326578,5.8708534,-11.471683,-18.989235
cell_270,-5.8957667,-3.6199088,-15.070252,6.1921515,11.720269,-7.659411,-2.6051898,-5.07134,6.591281,3.377541,-10.88117,-18.314528,12.681182,8.161764,-11.191579,6.1701546,-0.9304438,-5.17414,0.8502952,18.898417,6.2695246,10.715778,-9.649808,14.358759,-12.852016,-7.677071,16.151554,-22.752802,2.043217,-2.2334297,-0.24140696,-4.537303,14.197743,8.807874,12.565845,11.996191,-2.6703568,2.9984272,16.676552,-10.403932,-19.462107,8.589971,2.668399,-29.90177,-3.5269148,20.488955,10.351848,3.9889948,-14.685808,-12.342056
cell_271,-8.967631,-5.302481,-11.595686,-1.6140053,4.0404606,-4.750094,-0.23901995,-3.8748043,5.7042413,-3.3143563,-9.330216,-17.946789,8.317105,7.748079,-13.2602415,8.211868,5.962819,-5.9582953,1.8591032,17.820456,-0.8371355,0.11589004,-14.866136,21.860025,-13.46002,-6.760918,13.813388,-22.845667,-3.0593414,-6.2470336,-5.021707,0.9832778,16.205639,8.2343,8.280723,9.548379,-9.106448,-2.6725283,22.356344,-8.906381,-9.7757845,4.164587,1.8793037,-26.870646,-9.989474,16.349115,7.2134695,4.6656976,-14.380357,-12.605946
cell_272,-10.91782,-6.1719613,-3.9979079,-3.8107145,-1.9340456,-15.289311,-0.53451943,-10.449432,3.2463748,0.08374489,-9.349231,-16.12497,8.154983,7.2998977,-13.492184,8.435391,6.91926,-9.223778,5.8654356,21.993422,9.130225,2.4879992,-8.777503,23.32033,-19.544271,-6.108835,12.715999,-20.967379,4.6706285,-5.8020205,-4.458556,3.605206,14.695779,7.0450826,8.41222,7.0360255,-4.0503488,2.0247543,21.522245,-8.000103,-16.031528,7.30847,-1.9000942,-26.082323,-13.863654,20.299229,3.7173774,3.2760906,-14.430469,-17.693
cell_273,-0.21616504,-2.3481684,2.5576634,-10.203107,3.5667803,-7.9863257,-5.564329,1.1667627,-1.8663471,0.73816603,-6.827282,-26.112867,4.623734,3.8217757,-5.234323,7.7446804,8.418239,-17.311554,0.08271383,11.754155,-2.619213,3.6198602,-12.691,23.346823,-14.888363,-7.4943695,8.7039995,-27.505913,-2.2300541,-9.995158,-1.3545023,0.5266501,8.937659,4.3287487,9.249188,14.364078,-7.6248436,4.992121,27.419136,-6.983675,-12.097437,9.293628,6.4821677,-19.591717,-9.697884,5.301717,-6.6035333,2.3292353,-16.548136,-8.709124
cell_274,-6.34468,0.6745699,-3.144984,-5.1468024,2.6873567,-10.036697,-0.5830262,-1.651455,-5.562545,4.466571,-14.274064,-19.42636,3.487429,0.04290348,-13.155324,7.7591085,9.993487,-13.4670725,4.9021487,14.133042,3.3977592,7.2317295,-1.104628,23.546043,-9.715988,-5.1615276,10.398811,-20.614878,3.899453,-6.8906884,-0.2557341,-4.727931,7.6326923,0.9210375,8.685308,12.710941,-0.8552096,-1.0713302,22.958885,-12.709538,-11.88872,4.7902846,-0.06449022,-20.504898,0.7921485,5.7255826,2.3614805,0.40889058,-10.9055195,-12.182218
cell_275,-9.833131,-6.135543,-8.743476,-11.497855,-4.0509195,-8.725726,0.91809696,5.7406654,-3.429177,-3.7450871,0.4148848,-17.54782,-4.540425,1.3705058,-11.991257,14.092483,17.622719,-11.197637,-3.6230414,22.89531,-7.9292455,1.4185897,-15.5924,26.093525,-10.730039,-5.395853,19.267893,-13.340432,-6.960898,0.27743924,-2.251901,2.7684386,3.242357,-3.5841947,4.250446,18.12055,-3.4878113,-7.567338,22.176079,-5.5289707,-11.179947,0.822046,-0.6848281,-20.321068,-14.902662,14.530779,0.2510298,1.0321139,-20.981646,-7.04351
cell_276,-6.113452,-7.0062447,-4.6644454,-6.8902397,-0.6150776,1.6235965,-4.5087614,-3.3168116,5.429583,-2.6268115,-8.436253,-19.653975,1.2324269,6.8591185,-11.760135,4.842207,6.751139,-12.784403,-8.4767685,18.272089,2.0853047,-2.7219818,-22.324432,18.54256,-8.967702,-2.678835,10.722879,-21.135796,-1.089475,-2.139927,-1.5780656,2.7284632,8.91375,5.3360047,4.861701,11.022627,-8.326996,4.7856746,24.678158,-11.19236,-6.4483356,8.322314,-5.2110076,-19.068758,-11.839529,14.769778,5.055182,2.0986366,-12.257931,-12.532278
cell_277,-7.668314,-5.714722,-4.2224765,-5.874345,-1.0384728,-6.3964005,0.021042507,-1.8088007,-2.3376603,2.1378624,-14.290003,-14.215863,8.159374,5.2826066,-17.99798,7.4043727,1.79939,-16.278881,5.3998194,16.958828,10.0286455,3.1397858,-6.65484,20.817167,-15.5825615,-6.6330256,7.7845807,-25.715725,0.33075744,-10.045149,0.68060213,-3.3017368,8.892931,3.48324,5.2421436,10.128501,-0.13109343,1.498171,23.620039,-16.249493,-9.122102,4.1233587,-1.5189848,-23.722046,-6.4671583,15.754237,2.8017824,5.0083733,-13.258758,-15.353971
cell_278,-8.520604,-5.3101525,-8.072408,0.070414975,2.513211,-8.047999,-3.5011294,-3.3688965,0.046191372,1.4906111,-13.299495,-15.3288765,7.5461845,8.672495,-13.233647,4.8943977,-0.6648999,-10.182869,1.6887006,15.157728,4.616026,4.4737053,-2.981675,22.050575,-7.155816,-1.3038193,14.265034,-24.095795,-3.9116166,-2.8986328,-4.2590475,-6.2065,10.253943,7.5108047,2.0918725,16.694185,-5.463231,-0.23949203,17.541578,-11.952166,-12.10788,9.338525,-0.76208776,-28.159687,-6.6020546,13.548353,9.412629,7.66851,-14.082022,-13.474609
cell_279,-5.7356915,-7.2278767,10.211859,-10.3609705,-19.870342,-10.869008,-10.666692,-5.5250087,2.1361332,-11.904123,-9.269235,-5.3793216,4.2994204,4.7926197,-12.923522,15.4419985,5.140532,-22.297735,-9.240918,22.662209,2.5372255,-0.29969227,-0.32806167,30.487705,-15.840062,-8.444671,1.2575083,-24.466642,-10.582954,-11.439648,-2.6634514,-0.2607133,10.710395,1.7684813,2.6523237,9.483779,-4.0027404,-1.0013381,25.19399,5.5801463,-10.65966,3.947232,7.345302,-27.814714,-23.934692,11.730925,1.911412,2.3839567,-15.333493,-12.11639
cell_280,3.0027535,-2.4320292,-17.901838,11.43135,21.327276,-10.787153,3.3571606,-7.05998,5.612471,7.645043,-17.21368,-21.677008,15.651954,10.12151,-5.7231145,7.459276,-1.7849449,2.3625987,4.3153033,16.55452,2.2702274,12.149127,-6.966867,11.810964,-11.872137,-8.958974,18.246902,-18.378628,9.535948,0.38555384,3.4986126,-10.963456,15.10835,3.4498723,24.06643,10.517456,5.2691846,2.9422314,15.910195,-13.19513,-22.401527,4.267644,7.8410063,-27.702272,4.735566,22.577995,6.731482,2.0512369,-9.577753,-5.234054
cell_281,-9.616991,-7.2208347,-1.7845777,-6.0956774,-0.35479376,-7.2721133,-4.4884453,-7.636209,3.4517286,-1.7347823,-5.6756716,-13.370087,6.4409337,3.2036917,-13.249465,8.327791,10.6462145,-10.509026,-6.271102,20.160124,7.9317045,2.4086487,-12.6809225,19.02804,-13.718191,-5.321297,8.445571,-22.868057,1.0685898,-4.337497,-2.5176482,5.408111,11.752752,4.9979734,0.53053623,8.113476,-11.1170435,-1.9068184,21.687096,-4.343711,-10.616671,6.5670495,0.31135523,-22.797338,-13.692691,13.419827,5.3804555,1.6486833,-16.162268,-15.332758
cell_282,-8.742123,-4.195228,-5.9361377,-6.7675543,-9.867645,-4.24763,2.423123,1.8263323,1.0154417,-6.3531165,-8.327428,-11.882284,6.7800035,7.886347,-20.050879,6.0996504,5.2381606,-17.902834,6.2668486,20.074268,6.0164313,-3.9624412,-11.626514,20.076159,-17.387941,-7.5555167,11.523219,-21.399109,-7.056713,-12.599218,-4.5320487,2.096955,13.105492,1.8230149,0.03168329,8.785081,-6.497804,-1.3730073,16.390877,-10.76263,-6.90297,5.057333,-2.171697,-23.746243,-16.07691,14.739938,7.142082,10.415479,-10.250726,-16.289124
cell_283,-9.231069,-5.2552066,-4.4913206,-3.4627056,5.6048975,-7.4233723,-4.250022,-3.0300949,0.7362851,1.1959043,-5.1158123,-20.006567,3.736084,5.540247,-12.474302,12.118876,5.928281,-12.492328,-2.2214077,18.972258,10.725205,0.40722582,-10.911316,19.044842,-8.596055,-2.9435086,11.447362,-24.499321,-4.1738224,-0.9726169,-1.9635632,5.8708525,9.262474,6.6684113,1.1134235,7.298702,-6.896542,2.3260715,21.052074,-11.911881,-6.2769203,6.938602,-6.663305,-28.494717,-9.761397,15.731493,4.668143,3.937635,-18.028692,-15.393379
cell_284,-10.382376,-8.916159,-4.163919,-5.964585,-7.2648706,-0.91287714,-7.449098,-2.330787,5.8860445,-10.295774,-3.0022016,-9.416905,-2.180359,1.0541902,-13.600991,11.453476,4.724051,-13.666886,-13.050326,19.789795,1.5829872,0.50041354,-16.965591,19.832077,-14.127633,-7.740458,7.955325,-23.05149,-7.262978,-0.23795646,-4.049695,7.913312,6.0255446,4.8421493,-2.268266,9.177467,-10.647784,7.4307995,21.310482,-7.6235294,-8.5772295,6.2424235,-8.764152,-24.52106,-16.325216,17.46354,6.722188,6.0536733,-19.184813,-13.283552
cell_285,-5.296357,-4.508982,2.7490182,-4.523134,-2.699939,-4.825582,0.5911782,-5.339882,8.811395,-3.6496735,-12.762046,-14.474704,-0.2129824,5.916161,-8.42816,7.4791684,5.1094584,-12.581398,-6.2066813,16.36303,4.9293585,-0.10063264,-11.5649,20.22434,-15.4546585,-0.66643906,7.428571,-21.703384,-0.274898,-1.9477941,1.6265807,4.275378,7.8945117,-1.133289,5.820486,2.4351406,-5.5972204,9.221176,21.546844,-12.78491,-7.600339,7.288396,-1.2928307,-20.19799,-8.739534,19.612125,4.2764373,6.510359,-7.967613,-13.572084
cell_286,-8.820082,-7.116036,-8.841345,-0.22574438,10.608322,-7.548052,1.1374742,-6.5651665,6.100516,1.9870701,-11.503085,-17.062937,9.116669,7.043253,-12.095583,8.558462,-0.02965191,-4.2539096,1.8282673,14.120548,2.9788477,3.384118,-11.542213,19.024006,-16.902586,-5.384739,12.132962,-29.287367,0.9168565,-5.2115436,-5.116707,-2.9101238,9.710942,7.056596,9.661152,8.526766,-7.385273,5.932446,21.113655,-16.709421,-13.085916,7.901981,-0.8434136,-26.273447,-6.581952,21.332245,4.967247,7.14719,-16.600937,-12.240092
cell_287,-12.194765,-3.5023148,-1.149795,-10.531877,-0.30039442,0.34222847,-1.4028834,-0.27698964,0.04875149,-0.8719915,-4.8261347,-20.531042,7.7500014,7.1757956,-19.700539,7.7179594,4.014046,-20.440483,-0.9727585,17.185293,9.201288,-0.32081094,-5.394431,21.043531,-10.037435,-3.095545,9.611536,-27.828104,-10.60947,-14.702595,-5.2686353,-1.2771904,6.954815,6.698473,3.3311777,12.43605,-7.7793226,-5.428769,21.885572,-12.933421,-5.268006,9.604034,4.4985247,-24.118534,-15.627609,4.6540556,5.5775404,1.0656035,-16.02418,-12.139894
cell_288,-8.576589,-8.823502,-5.164633,-9.999292,-2.5223684,-5.221314,-4.3077817,-9.0679035,-0.2954074,-1.2514055,-4.404018,-6.952569,8.159098,2.1135907,-16.446043,10.591543,3.674986,-13.113446,-3.938629,20.11638,9.958433,4.1376605,-8.58895,19.783552,-14.860633,-17.237604,5.1334805,-20.691362,0.44932547,-13.896968,-4.8913302,-5.1174994,8.269951,6.6278415,6.621401,8.321961,-1.3526754,-3.8212357,21.686619,-6.9484377,-15.90669,8.029341,-1.331422,-23.663498,-17.022844,11.0167,5.540284,-0.9801453,-13.9738035,-12.999592
cell_289,-12.280769,-5.3049736,-5.943177,-3.0088425,2.7661211,4.761453,-4.333055,-2.7402864,12.751069,-6.1670656,-11.232958,-16.762777,5.1253457,10.4416,-15.56283,9.120303,-5.37022,-11.275814,-8.912898,19.511189,7.317553,1.2944338,-10.492312,17.352888,-10.866688,3.4069812,11.885696,-30.614866,-11.832406,-3.6204524,1.5975577,-2.9058979,6.640775,11.840107,5.3466024,9.742568,-7.1925983,7.2385025,20.546967,-15.628899,-6.743093,15.026624,0.6973818,-30.468437,-7.9196067,22.484678,13.556225,5.9405437,-13.598929,-17.95623
cell_290,-11.996138,-1.6680777,-6.1231856,-7.187431,-5.4588246,-5.8342566,-0.09799221,-1.2055601,1.8117857,-5.437738,-15.051748,-17.616615,-2.4575734,0.65914786,-21.210005,10.778053,1.0376188,-16.420328,2.3030243,19.690039,2.384005,-0.51183075,-7.4073462,28.778376,-15.29545,-4.1740932,13.171791,-25.508099,-9.264027,-10.179874,-8.116395,2.1489594,6.3423467,1.3408456,8.372063,8.55698,-6.6852803,3.455822,20.483232,-21.856863,-8.542251,9.071549,-8.713104,-29.076485,-11.925158,14.816627,10.061863,7.522325,-12.569547,-15.676819
cell_291,-9.95627,-5.865621,-6.65771,-3.7365928,-0.925234,-2.5285556,-3.6760137,-1.2789532,5.512713,-5.194693,-5.296777,-10.638951,6.510202,4.8194194,-12.439162,5.64869,-2.1686182,-11.499509,-4.207874,15.96433,0.002500175,3.4312208,-10.840267,18.214844,-10.716846,-6.879575,11.801376,-24.419302,-5.400761,-6.8471985,-7.0387106,1.8814327,15.133048,10.908922,-1.5433583,5.752084,-11.069137,0.004181585,18.419243,-8.1508045,-9.115628,6.627365,-5.751671,-26.955034,-5.8340793,12.208748,13.398035,5.047634,-10.391837,-20.050127
cell_292,-9.704412,-4.602968,-2.607561,-10.016936,-7.122163,-10.570015,0.005034912,-6.8771296,3.6465704,-8.554502,-9.952002,-15.493165,-1.822013,5.471451,-13.197768,10.936164,6.210397,-11.894565,0.6705649,19.757032,-1.7673175,-1.8105155,-9.653313,29.682663,-16.70178,-6.482357,14.62234,-20.908243,-1.1437001,-6.3665237,-7.1040144,3.2424362,10.810033,4.8998156,5.338723,9.939328,-5.216564,5.274134,21.173052,-12.636715,-13.564535,11.677823,-8.753603,-26.602543,-14.30998,16.32804,6.014824,6.319069,-12.823974,-18.058977
cell_293,-6.335469,-6.3628182,-7.7783003,-9.772229,0.4810242,-3.3305335,0.75593895,3.1189735,-0.51376563,0.29524833,-7.197761,-12.492755,-1.6124066,0.42310992,-11.774511,11.080847,8.302928,-12.070758,4.7945213,18.12226,4.036888,3.6207216,-13.911942,15.557345,-13.830865,-3.5727568,12.197408,-22.713497,-5.093299,-6.831514,3.6109118,-2.9141543,1.5199558,2.8081524,-0.13325477,15.008447,-3.5280936,5.9395466,13.856122,-13.001634,-11.052665,11.575859,-5.0933642,-21.576952,-8.769637,16.349085,6.1264796,11.272161,-17.07819,-18.822514
cell_294,-8.487717,-0.17514089,-12.1478195,-5.918229,-6.6262503,-10.383221,-4.225641,1.5762582,-5.1504016,-6.627431,-7.371307,-14.342362,2.6997986,-1.356433,-17.428038,10.694279,5.506458,-15.124886,6.3899865,17.861242,2.6725972,2.844768,-13.53538,21.789509,-19.208698,-10.3888,13.105362,-19.643522,-5.8160706,-7.2494354,-5.66462,8.141639,7.717176,2.3290212,2.0933316,12.348294,-3.0997646,-1.2658795,22.366964,-12.80943,-11.360038,2.8361163,-4.118453,-23.752773,-16.015772,14.736701,-2.3273025,4.477215,-20.292694,-7.0666537
cell_295,-11.309185,-4.489808,-2.3048942,-11.347588,-0.78558594,-6.437029,0.44556797,-5.2688437,-0.33523208,-2.6257422,-5.314756,-20.406929,0.34412047,3.7738683,-16.207684,9.571998,12.720428,-14.493327,-3.261784,18.494318,2.046794,-0.44652122,-8.07632,29.469753,-11.884291,-9.456404,12.453514,-21.330748,-2.4526646,-9.55456,-8.310277,1.0833704,7.8688846,1.6943512,7.3047514,12.599225,-8.223164,-3.3405256,23.433279,-12.295974,-11.930882,9.450886,-1.6989597,-23.494846,-16.216991,6.057339,4.3629227,1.4928182,-15.2763815,-10.755014
cell_296,-7.286833,-3.5832067,-6.2929206,-1.6177583,3.2205126,-11.387399,3.2227726,-8.775095,-1.3441541,4.3396177,-10.82679,-20.35961,4.44592,1.356615,-14.10899,9.551626,11.249673,-9.181899,3.0053253,20.078781,8.881224,6.3317523,-7.113819,19.149658,-15.909998,-6.976988,12.178292,-18.32314,2.7534297,-6.6251674,-4.4637704,1.9762081,7.3980956,-1.4563849,11.36331,8.562785,-6.8437552,1.0982627,16.54351,-14.461378,-15.180317,8.59407,2.6952815,-20.641554,-13.537782,12.762098,4.2545075,2.7894394,-13.821301,-10.501389
cell_297,-2.9803221,-0.44060886,-6.143113,-1.1192602,1.0737196,-8.247799,-3.6136975,1.8653992,2.2504764,-3.428103,-11.565272,-17.393326,4.445652,4.849578,-13.938389,10.030793,4.879343,-12.141644,-0.19946998,18.93192,3.096514,-0.41396117,-5.030012,22.81611,-7.6902223,-6.3938885,12.548268,-21.715696,-6.303191,-6.430038,-1.736404,-0.010221185,13.370789,2.4065192,6.9517345,9.832988,-3.8156679,-2.1840389,14.733984,-7.760493,-10.18303,5.932251,-1.3189049,-31.312454,-7.5433187,11.806667,9.680874,6.347918,-11.192625,-12.067404
cell_298,-8.075914,0.03066533,-1.0809294,-7.4152284,-0.6650452,-6.6905923,-5.81123,-9.1951885,6.74877,-8.998814,-4.299064,-27.404825,6.309943,11.514917,-16.960772,9.312386,7.8992147,-20.643007,-11.441407,22.368288,10.21891,-2.364124,-9.759214,26.463942,-12.516938,-7.1876006,15.521853,-24.28704,-5.251753,-6.6370196,-8.275364,9.199782,14.926605,5.382257,4.5341525,13.113414,-10.275411,-2.408043,22.218426,-10.470793,-13.803531,17.17012,0.15996882,-33.007214,-24.565592,7.8239403,6.336967,1.1574038,-17.025879,-9.36023
cell_299,-14.011564,-8.036271,0.6398895,-10.678626,-4.1808486,-13.2349415,-2.5281634,-3.5089002,-0.043856055,-1.4249299,-4.48223,-6.8242927,2.2310824,2.3509052,-10.956424,11.426701,4.895284,-10.560436,-1.2316834,19.41067,7.053806,4.084518,-9.62944,20.574324,-17.879057,0.4568371,12.2375555,-28.22728,-5.351886,-4.5485415,-2.8814194,2.1281605,2.5479054,4.5904436,-7.4487057,6.537422,-9.131649,3.813951,20.105932,-10.058757,-11.160882,11.88782,-2.725815,-22.496637,-13.225602,23.93667,3.1344063,7.458336,-17.333727,-21.262558
cell_300,-5.8557644,-1.2340082,-2.8032088,-10.241505,-3.7716134,-7.614539,1.5668012,1.6051016,2.6178324,-1.9809866,-3.625721,-18.787357,3.7548652,2.5375519,-11.7112875,6.0819693,15.156004,-13.954249,4.5940537,19.815784,-0.7786972,-1.0122836,-18.635107,17.599424,-18.311724,-5.588546,15.105839,-20.866653,-0.31587416,-12.064352,-5.3703,0.8283175,9.561197,0.08653481,6.0014663,9.843849,-8.788268,0.8740978,17.309206,-4.4184766,-13.916938,8.501946,0.93814003,-16.01349,-14.295666,10.917758,3.4208236,5.074799,-10.323621,-14.24774
cell_301,-5.6007867,-4.9301248,0.52629805,-8.854744,-0.103104696,-7.6468496,-3.987705,-3.5695627,0.76394385,-1.7635714,-10.887223,-14.583041,2.5842671,4.7470264,-9.8244295,9.58068,3.7414331,-13.121754,-0.6607266,15.723427,5.8407674,-0.57366866,-9.764386,23.60904,-10.920173,-4.0654545,7.218194,-23.773712,-1.7005945,-5.880048,0.8834326,3.6443884,10.937408,5.637487,2.1785643,4.9853525,-3.622391,1.7699203,25.203062,-10.899504,-5.6221275,6.0599113,-3.8631806,-24.787724,-7.089049,14.615482,1.7211217,3.231738,-12.001045,-16.829779
cell_302,-10.509446,-7.355132,-7.3223667,-1.0092927,1.372296,-6.6037393,-1.4300162,-8.952652,6.2874374,-2.8046672,-8.24544,-13.801234,9.62793,7.6957855,-14.9166765,4.9972343,1.970268,-7.352925,-3.7876663,19.06944,6.2636285,2.2366958,-10.616899,18.821001,-15.13689,-4.79993,13.532842,-23.809208,-1.8260677,-5.233509,-8.061079,1.1190414,12.085693,6.0677757,4.521787,9.03946,-11.157803,-0.8693321,17.582085,-9.876225,-13.896915,9.005264,1.9621896,-25.146742,-15.488963,16.978327,9.4089775,5.0449367,-13.586135,-11.833542
cell_303,-8.988685,-7.268207,-7.4729342,-3.5965922,7.157239,-7.541641,-3.0175614,-8.216719,3.0765145,1.6802564,-8.144188,-17.90374,7.4712358,5.693717,-11.435357,6.8309703,2.5437639,-6.2882123,-2.6348662,16.435925,0.6503169,5.0852294,-10.274737,23.297857,-12.451396,-9.071809,12.552175,-24.45448,1.2168045,-6.824564,-6.830768,-3.6732492,10.628684,8.635584,12.134872,10.628773,-7.0089087,0.97623664,23.14759,-11.0125,-15.92933,9.008099,0.16682822,-24.709835,-9.0966,14.2405615,5.4512916,0.42786103,-14.534806,-11.293196
cell_304,-10.325684,-5.210908,-5.632836,-8.299947,0.3048359,0.38562495,-6.042062,-3.4946604,-2.21084,-3.3449657,-8.238649,-15.922194,4.386875,0.028646346,-19.433329,11.64459,8.043992,-15.137333,-5.704626,17.112753,4.765633,3.0885448,-7.481065,24.567633,-8.747471,-10.499661,5.4224477,-23.297518,-4.692521,-9.421192,-2.8687217,-0.279366,8.241347,5.4923406,5.288554,13.237587,-6.435597,-6.7735133,26.77315,-9.502848,-6.494087,2.452771,1.3550643,-24.574892,-10.709996,3.5962117,4.7104554,-2.243418,-18.190866,-9.554264
